Time,Species,Count
128.573,Rabbit,10
135.7661,Plant,2
135.7661,Rabbit,10
146.8882,Plant,2
146.8882,Rabbit,10
1.030883,Plant,10
1.030883,Rabbit,10
2.293787,Plant,10
2.293787,Rabbit,10
6.232328,Plant,10
6.232328,Rabbit,10
7.348054,Plant,10
7.348054,Rabbit,10
9.849061,Plant,9
9.849061,Rabbit,10
10.87358,Plant,9
10.87358,Rabbit,10
11.90057,Plant,9
11.90057,Rabbit,10
16.64831,Plant,6
16.64831,Rabbit,10
17.68927,Plant,5
17.68927,Rabbit,10
27.75978,Plant,2
27.75978,Rabbit,10
48.67989,Plant,1
48.67989,Rabbit,10
49.71961,Plant,1
49.71961,Rabbit,10
166.7758,Plant,1
166.7758,Rabbit,10
217.9984,Plant,1
217.9984,Rabbit,6
219.0377,Plant,1
219.0377,Rabbit,6
223.8831,Plant,1
223.8831,Rabbit,5
226.3504,Plant,1
226.3504,Rabbit,1
227.3574,Plant,1
227.3574,Rabbit,1
259.715,Plant,1
259.715,Rabbit,0
282.2209,Plant,1
282.2209,Rabbit,0
321.0209,Plant,1
321.0209,Rabbit,0
387.2841,Plant,1
387.2841,Rabbit,0
469.0518,Plant,1
469.0518,Rabbit,0
473.8525,Plant,1
473.8525,Rabbit,0
515.3621,Plant,1
515.3621,Rabbit,0
522.6557,Plant,1
522.6557,Rabbit,0
535.0337,Plant,1
535.0337,Rabbit,0
575.4106,Plant,1
575.4106,Rabbit,0
584.014,Plant,1
584.014,Rabbit,0
624.5,Plant,1
624.5,Rabbit,0
652.3677,Plant,1
652.3677,Rabbit,0
2.833889,Plant,10
2.833889,Rabbit,10
3.853197,Plant,10
3.853197,Rabbit,10
7.351612,Plant,10
7.351612,Rabbit,10
9.634532,Plant,8
9.634532,Rabbit,10
12.18356,Plant,8
12.18356,Rabbit,10
18.30449,Plant,6
18.30449,Rabbit,10
20.33226,Plant,5
20.33226,Rabbit,10
29.53757,Plant,2
29.53757,Rabbit,10
37.76792,Plant,1
37.76792,Rabbit,10
48.04894,Plant,1
48.04894,Rabbit,10
50.17103,Plant,0
50.17103,Rabbit,10
58.3236,Plant,0
58.3236,Rabbit,10
76.79979,Plant,0
76.79979,Rabbit,10
81.92085,Plant,0
81.92085,Rabbit,10
94.15369,Plant,0
94.15369,Rabbit,10
97.23056,Plant,0
97.23056,Rabbit,10
117.5401,Plant,0
117.5401,Rabbit,10
124.6263,Plant,0
124.6263,Rabbit,10
128.7122,Plant,0
128.7122,Rabbit,10
140.8603,Plant,0
140.8603,Rabbit,10
152.0077,Plant,0
152.0077,Rabbit,10
158.1159,Plant,0
158.1159,Rabbit,10
168.2682,Plant,0
168.2682,Rabbit,10
171.3233,Plant,0
171.3233,Rabbit,10
176.3967,Plant,0
176.3967,Rabbit,10
193.6798,Plant,0
193.6798,Rabbit,10
195.7049,Plant,0
195.7049,Rabbit,10
214.0952,Plant,0
214.0952,Rabbit,9
217.1761,Plant,0
217.1761,Rabbit,7
222.282,Plant,0
222.282,Rabbit,6
227.3577,Plant,0
227.3577,Rabbit,3
242.713,Plant,0
242.713,Rabbit,0
247.8114,Plant,0
247.8114,Rabbit,0
250.8911,Plant,0
250.8911,Rabbit,0
258.0555,Plant,0
258.0555,Rabbit,0
265.1036,Plant,0
265.1036,Rabbit,0
